ImageNumber,ObjectNumber,Children_FilterObjects1_Count,Children_IdentifyPrimaryObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
9,22,1,1,51.78947368421053,71.0,0,22
9,23,1,1,63.592592592592595,71.25925925925925,0,23
9,24,0,0,24.523809523809526,73.71428571428571,0,24
9,25,1,1,74.94444444444444,75.75,0,25
9,26,1,1,86.44444444444444,76.29629629629629,0,26
9,27,1,1,48.130434782608695,81.04347826086956,0,27
9,28,0,0,38.5,81.28571428571429,0,28
9,29,1,1,81.8,89.44,0,29
9,30,1,1,34.411764705882355,90.88235294117646,0,30
9,31,1,1,66.91666666666667,92.66666666666667,0,31
10,1,1,1,66.77777777777777,6.5,0,1
10,2,1,1,28.77777777777778,10.777777777777779,0,2
10,3,1,1,87.21739130434783,16.608695652173914,0,3
10,4,1,1,62.892857142857146,19.571428571428573,0,4
10,5,0,0,15.5,20.77777777777778,0,5
10,6,1,1,47.68,24.08,0,6
10,7,1,1,90.15384615384616,35.23076923076923,0,7
10,8,1,1,76.38461538461539,38.38461538461539,0,8
10,9,1,1,52.8421052631579,38.8421052631579,0,9
10,10,0,0,20.727272727272727,42.36363636363637,0,10
10,11,0,0,83.0,44.0,0,11
10,12,0,0,46.88,49.96,0,12
10,13,1,1,84.0909090909091,54.90909090909091,0,13
10,14,0,0,68.66666666666667,56.0,0,14
10,15,0,0,15.227272727272727,62.86363636363637,0,15
10,16,1,1,57.411764705882355,63.11764705882353,0,16
10,17,1,1,28.5,66.22222222222223,0,17
10,18,1,1,5.863636363636363,74.68181818181819,0,18
10,19,1,1,91.93333333333334,77.13333333333334,0,19
10,20,0,0,20.5,78.5,0,20
10,21,1,1,85.25,89.25,0,21
10,22,0,0,17.5,93.5,0,22
11,1,0,0,36.5625,7.96875,0,1
11,2,0,0,59.125,11.875,0,2
11,3,1,1,22.166666666666668,13.125,0,3
11,4,1,1,48.6,13.6,0,4
11,5,1,1,67.27777777777777,19.38888888888889,0,5
11,6,0,0,41.63636363636363,22.545454545454547,0,6
11,7,1,1,32.15,30.3,0,7
11,8,1,1,59.22222222222222,31.5,0,8
11,9,0,0,80.5,30.8,0,9
11,10,0,0,9.055555555555555,31.22222222222222,0,10
11,11,1,1,48.04545454545455,34.27272727272727,0,11
11,12,1,1,90.55,39.75,0,12
11,13,1,1,18.88888888888889,39.44444444444444,0,13
