ImageNumber,ObjectNumber,Children_DilateObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
6,24,1,75.8,48.76,0,24,24
6,25,1,55.5,51.22222222222222,0,25,25
6,26,1,40.38461538461539,55.57692307692308,0,26,26
6,27,1,88.17857142857143,61.214285714285715,0,27,27
6,28,1,25.923076923076923,62.56410256410256,0,28,28
6,29,1,48.0,65.5,0,29,29
6,30,1,74.0625,63.5625,0,30,30
6,31,1,60.666666666666664,70.875,0,31,31
6,32,1,85.5,74.0,0,32,32
6,33,1,48.52,76.64,0,33,33
6,34,1,87.83333333333333,78.0,0,34,34
6,35,1,16.35,81.65,0,35,35
6,36,1,54.666666666666664,83.26666666666667,0,36,36
6,37,1,89.0,87.0,0,37,37
7,1,1,67.84210526315789,6.842105263157895,0,1,1
7,2,1,5.8,9.5,0,2,2
7,3,1,15.17142857142857,11.428571428571429,0,3,3
7,4,1,88.16129032258064,12.193548387096774,0,4,4
7,5,1,56.27272727272727,11.272727272727273,0,5,5
7,6,1,72.66666666666667,12.5,0,6,6
7,7,1,58.55172413793103,15.586206896551724,0,7,7
7,8,1,22.833333333333332,15.722222222222221,0,8,8
7,9,1,32.638888888888886,21.555555555555557,0,9,9
