ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
6,23,47.0,65.5,0,23,23
6,24,59.861111111111114,70.61111111111111,0,24,24
6,25,84.48648648648648,74.16216216216216,0,25,25
6,26,47.5,77.0,0,26,26
6,27,15.5,81.5,0,27,27
6,28,53.46153846153846,83.23076923076923,0,28,28
6,29,87.65384615384616,86.65384615384616,0,29,29
6,30,16.5,93.27272727272727,0,30,30
7,1,13.744186046511627,11.279069767441861,0,1,1
7,2,87.0,12.0,0,2,2
7,3,21.633333333333333,15.633333333333333,0,3,3
7,4,56.73913043478261,14.369565217391305,0,4,4
7,5,31.666666666666668,21.6,0,5,5
7,6,60.97222222222222,31.083333333333332,0,6,6
7,7,88.6,33.0,0,7,7
7,8,8.5,33.5,0,8,8
7,9,19.147058823529413,37.38235294117647,0,9,9
7,10,60.375,39.84375,0,10,10
7,11,28.0,41.5,0,11,11
7,12,6.157894736842105,42.578947368421055,0,12,12
7,13,22.157894736842106,53.5,0,13,13
7,14,86.13888888888889,58.388888888888886,0,14,14
7,15,66.0,63.41025641025641,0,15,15
7,16,45.294117647058826,69.09803921568627,0,16,16
7,17,80.38888888888889,68.86111111111111,0,17,17
7,18,9.210526315789474,74.10526315789474,0,18,18
7,19,21.375,74.84375,0,19,19
7,20,60.125,76.1875,0,20,20
7,21,46.666666666666664,81.75,0,21,21
7,22,74.09677419354838,84.80645161290323,0,22,22
7,23,50.6578947368421,91.60526315789474,0,23,23
7,24,65.4047619047619,91.64285714285714,0,24,24
8,1,52.5,6.214285714285714,0,1,1
8,2,12.64516129032258,6.741935483870968,0,2,2
8,3,61.97222222222222,11.916666666666666,0,3,3
8,4,54.15,14.7,0,4,4
8,5,26.176470588235293,14.176470588235293,0,5,5
8,6,88.47058823529412,17.5,0,6,6
8,7,12.628571428571428,18.771428571428572,0,7,7
8,8,34.10526315789474,27.210526315789473,0,8,8
8,9,13.340425531914894,26.93617021276596,0,9,9
8,10,24.482758620689655,28.103448275862068,0,10,10
8,11,92.22222222222223,29.0,0,11,11
8,12,69.91666666666667,32.02777777777778,0,12,12
8,13,43.5,36.5,0,13,13
8,14,92.125,38.333333333333336,0,14,14
8,15,14.605263157894736,46.3421052631579,0,15,15
8,16,38.0,47.5,0,16,16
8,17,25.630434782608695,49.73913043478261,0,17,17
8,18,92.5,51.5,0,18,18
8,19,69.8,53.84,0,19,19
8,20,53.369565217391305,55.108695652173914,0,20,20
8,21,74.66666666666667,55.54761904761905,0,21,21
8,22,66.15,57.3,0,22,22
8,23,37.58536585365854,61.48780487804878,0,23,23
8,24,87.725,62.15,0,24,24
8,25,12.0,62.5,0,25,25
8,26,59.375,65.15625,0,26,26
8,27,79.15151515151516,71.27272727272727,0,27,27
8,28,31.366666666666667,73.36666666666666,0,28,28
8,29,7.894736842105263,74.78947368421052,0,29,29
8,30,16.5,75.5,0,30,30
8,31,42.0,76.0,0,31,31
8,32,52.15625,75.375,0,32,32
8,33,26.62162162162162,79.70270270270271,0,33,33
8,34,91.90322580645162,81.80645161290323,0,34,34
8,35,51.214285714285715,83.5,0,35,35
8,36,64.0,85.0,0,36,36
8,37,5.555555555555555,89.04444444444445,0,37,37
8,38,17.181818181818183,89.3409090909091,0,38,38
8,39,53.285714285714285,91.94285714285714,0,39,39
8,40,73.38888888888889,92.13888888888889,0,40,40
9,1,64.0,5.777777777777778,0,1,1
9,2,4.777777777777778,11.0,0,2,2
9,3,66.97142857142858,19.428571428571427,0,3,3
9,4,89.20689655172414,25.03448275862069,0,4,4
9,5,34.60526315789474,29.342105263157894,0,5,5
9,6,46.825,36.05,0,6,6
9,7,52.857142857142854,40.55102040816327,0,7,7
9,8,66.5,48.294117647058826,0,8,8
9,9,41.388888888888886,50.138888888888886,0,9,9
9,10,57.794871794871796,57.256410256410255,0,10,10
9,11,91.15789473684211,59.421052631578945,0,11,11
9,12,9.5,64.5,0,12,12
9,13,51.82857142857143,71.0,0,13,13
9,14,63.57446808510638,71.31914893617021,0,14,14
9,15,74.91228070175438,75.73684210526316,0,15,15
9,16,86.46666666666667,76.24444444444444,0,16,16
9,17,48.142857142857146,81.11904761904762,0,17,17
9,18,81.74418604651163,89.46511627906976,0,18,18
9,19,34.375,90.84375,0,19,19
9,20,67.0,92.68,0,20,20
10,1,66.70588235294117,6.5,0,1,1
10,2,28.823529411764707,10.852941176470589,0,2,2
10,3,87.225,16.65,0,3,3
10,4,62.916666666666664,19.5625,0,4,4
10,5,47.733333333333334,24.044444444444444,0,5,5
10,6,90.17777777777778,35.22222222222222,0,6,6
10,7,76.34615384615384,38.34615384615385,0,7,7
10,8,52.8235294117647,38.8235294117647,0,8,8
10,9,84.12820512820512,54.87179487179487,0,9,9
